Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxAlpacaAmount,MaxAlpacaHouseAmount,MaxHedgehog1Amount,MaxHedgehog2Amount,MaxHoglet1Amount,MaxHoglet2Amount,MaxHedgehogHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxLambHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,DiamondsToCoinsRateV3,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier,GoodReward4,GoodAmount4,GoodReward5,GoodAmount5,GoodReward6,GoodAmount6,MinTruckOrderValueOfDay,MaxTruckOrderValueOfDay,TargetTruckOrdersPerDay,MaxLockedOrderProducts,MaxTruckOrderMultiplier,MinPeopleQuestEffort,MaxPeopleQuestEffort,PeopleQuestDealersChoiceExpReward,PeopleQuestDealersChoiceCoinReward
787,10847000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,450,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,796,806,796,796
788,10867000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,450,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,797,807,797,797
789,10887000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,451,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,798,808,798,798
790,10907000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,451,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,799,809,799,799
791,10927000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,451,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,800,810,800,800
792,10947000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,451,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,801,811,801,801
793,10967000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,452,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,802,812,802,802
794,10987000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,452,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,803,813,803,803
795,11007000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,452,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,804,814,804,804
796,11027000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,452,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,805,815,805,805
797,11047000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,453,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,806,816,806,806
798,11067000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,453,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,807,817,807,807
799,11087000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,453,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,808,818,808,808
800,11107000,FreeDiamonds,425,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,453,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,809,819,809,809
801,11127000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,810,820,810,810
802,11147000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,811,821,811,811
803,11167000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,812,822,812,812
804,11187000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,813,823,813,813
805,11207000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,814,824,814,814
806,11227000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,815,825,815,815
807,11247000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,816,826,816,816
808,11267000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,817,827,817,817
809,11287000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,818,828,818,818
810,11307000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,454,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,819,829,819,819
811,11327000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,820,830,820,820
812,11347000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,821,831,821,821
813,11367000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,822,832,822,822
814,11387000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,823,833,823,823
815,11407000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,824,834,824,824
816,11427000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,825,835,825,825
817,11447000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,826,836,826,826
818,11467000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,827,837,827,827
819,11487000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,828,838,828,828
820,11507000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,455,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,829,839,829,829
821,11527000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,830,840,830,830
822,11547000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,831,841,831,831
823,11567000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,832,842,832,832
824,11587000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,833,843,833,833
825,11607000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,834,844,834,834
826,11627000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,835,845,835,835
827,11647000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,836,846,836,836
828,11667000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,837,847,837,837
829,11687000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,838,848,838,838
830,11707000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,456,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,839,849,839,839
831,11727000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,840,850,840,840
832,11747000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,841,851,841,841
833,11767000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,842,852,842,842
834,11787000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,843,853,843,843
835,11807000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,844,854,844,844
836,11827000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,845,855,845,845
837,11847000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,846,856,846,846
838,11867000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,847,857,847,847
839,11887000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,848,858,848,848
840,11907000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,457,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,849,859,849,849
841,11927000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,458,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,850,860,850,850
842,11947000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,458,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,851,861,851,851
843,11967000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,458,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,852,862,852,852
